Lineups,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
J. Randle - J. Brunson - M. Robinson - R. Barrett - Q. Grimes,14,9,5,228,111.2,104.8,6.4,55.3,1.64,16.2,29.0,70.0,49.5,13.5,52.3,56.0,100.13,50.8
I. Hartenstein - J. Hart - J. Brunson - D. DiVincenzo - P. Achiuwa,13,9,4,189,119.5,113.0,6.4,60.5,2.20,18.9,33.0,72.6,52.5,12.4,54.4,57.8,93.77,55.3
J. Randle - O. Anunoby - I. Hartenstein - J. Brunson - D. DiVincenzo,10,9,1,180,126.6,110.0,16.6,66.5,2.13,21.2,28.4,78.0,54.4,14.2,61.7,65.1,101.73,55.6
I. Hartenstein - J. Hart - J. Brunson - D. DiVincenzo - M. McBride,14,7,7,172,138.2,107.1,31.1,66.5,3.90,23.6,28.8,69.4,50.0,8.9,66.3,67.9,94.51,62.5
O. Anunoby - I. Hartenstein - J. Hart - J. Brunson - D. DiVincenzo,10,9,1,131,118.3,102.7,15.6,59.3,1.87,19.5,32.2,81.6,57.3,14.8,57.4,59.5,96.26,58.2
I. Hartenstein - J. Hart - D. DiVincenzo - R. Barrett - I. Quickley,14,9,5,116,110.6,102.3,8.2,58.6,1.61,16.7,34.6,69.5,51.4,14.6,51.4,55.1,103.60,51.9
J. Randle - J. Hart - J. Brunson - M. Robinson - Q. Grimes,19,10,9,109,99.6,111.8,-12.2,53.7,1.57,13.8,37.6,76.5,53.9,12.6,46.0,47.7,97.44,43.2
J. Randle - I. Hartenstein - J. Brunson - D. DiVincenzo - R. Barrett,10,4,6,102,117.0,127.4,-10.4,57.0,1.56,16.6,38.4,75.8,55.9,15.2,51.5,57.3,104.27,46.8
J. Randle - I. Hartenstein - J. Hart - J. Brunson - I. Quickley,26,14,12,96,128.6,102.9,25.6,53.2,1.92,17.4,32.9,76.2,56.5,12.4,61.1,65.8,104.15,64.9
J. Hart - J. Brunson - D. DiVincenzo - P. Achiuwa - M. McBride,13,7,6,78,111.9,111.0,0.9,62.7,2.47,17.7,37.0,60.0,46.5,10.7,46.6,50.3,99.71,46.6
J. Randle - I. Hartenstein - J. Hart - J. Brunson - D. DiVincenzo,21,12,9,72,126.7,112.9,13.8,58.0,1.67,17.6,35.9,73.7,56.4,14.5,65.9,69.6,109.70,57.2
J. Hart - J. Brunson - D. DiVincenzo - P. Achiuwa - J. Sims,10,5,5,63,116.1,100.0,16.1,64.4,2.11,19.4,50.0,76.6,62.9,14.5,54.0,54.9,93.72,58.0
J. Randle - J. Hart - J. Brunson - M. Robinson - I. Quickley,19,12,7,63,125.4,97.7,27.7,63.2,1.89,19.0,41.1,87.9,64.9,14.6,60.7,63.8,99.19,65.9
J. Randle - J. Brunson - D. DiVincenzo - R. Barrett - J. Sims,5,3,2,60,121.3,139.7,-18.4,56.9,2.75,19.8,21.8,61.7,42.6,9.8,59.9,62.2,98.76,40.4
J. Randle - J. Hart - J. Brunson - D. DiVincenzo - M. Robinson,11,8,3,54,122.7,110.7,12.0,64.6,1.82,19.3,36.4,73.6,54.6,15.5,60.0,61.5,97.83,54.3
J. Randle - I. Hartenstein - J. Hart - D. DiVincenzo - I. Quickley,15,9,6,46,105.1,100.0,5.1,62.2,1.28,16.5,43.2,67.9,56.7,18.4,52.5,57.1,105.18,53.9
B. Bogdanovic - J. Hart - D. DiVincenzo - P. Achiuwa - M. McBride,12,8,4,43,81.6,108.5,-26.9,84.6,1.22,18.5,26.2,66.0,47.2,20.7,44.0,47.9,101.59,34.2
A. Burks - B. Bogdanovic - J. Hart - P. Achiuwa - M. McBride,11,6,5,42,84.1,127.4,-43.3,65.2,0.88,12.9,31.0,72.5,51.2,19.3,44.4,51.5,99.07,27.9
J. Hart - J. Brunson - D. DiVincenzo - M. Robinson - M. McBride,7,4,3,41,124.7,100.0,24.7,57.9,2.00,17.3,51.0,80.0,63.1,13.6,52.4,54.1,96.55,58.2
J. Randle - O. Anunoby - I. Hartenstein - J. Hart - J. Brunson,8,7,1,41,131.5,71.3,60.2,46.5,1.82,16.1,38.5,83.3,63.2,12.4,56.3,62.8,102.90,86.3
O. Anunoby - J. Hart - J. Brunson - Q. Grimes - P. Achiuwa,9,8,1,41,134.1,88.6,45.5,53.7,2.44,18.8,32.5,64.4,49.4,11.0,61.5,63.4,99.96,69.7
O. Anunoby - J. Hart - Q. Grimes - P. Achiuwa - M. McBride,9,8,1,41,104.8,84.0,20.9,57.1,1.60,13.7,36.7,75.0,56.4,12.0,43.4,50.5,96.04,65.7
J. Hart - D. DiVincenzo - P. Achiuwa - M. McBride - J. Sims,6,3,3,40,101.3,84.4,16.9,67.9,1.73,17.6,26.2,74.4,50.6,14.1,51.4,52.8,92.88,60.6
I. Hartenstein - J. Hart - D. DiVincenzo - P. Achiuwa - M. McBride,5,2,3,38,100.0,121.6,-21.6,80.0,2.18,20.9,28.6,56.1,42.2,13.9,50.7,52.5,97.90,44.9
I. Hartenstein - J. Hart - R. Barrett - Q. Grimes - I. Quickley,7,2,5,38,126.0,112.0,14.0,68.6,2.67,23.1,24.1,64.3,47.9,12.3,64.8,66.7,94.18,58.4
J. Randle - J. Brunson - D. DiVincenzo - M. Robinson - R. Barrett,6,2,4,38,135.4,144.6,-9.2,54.8,02.09,18.7,51.2,80.8,62.7,13.9,60.8,61.9,97.31,48.9
A. Burks - B. Bogdanovic - J. Hart - M. McBride - J. Sims,8,3,5,36,83.3,101.4,-18.1,45.5,0.71,10.9,40.0,61.0,50.6,21.2,40.2,42.3,91.43,26.3
I. Hartenstein - J. Hart - J. Brunson - D. DiVincenzo - I. Quickley,16,9,7,36,105.3,117.8,-12.5,60.7,2.43,16.0,34.1,76.7,52.1,9.2,46.4,51.7,98.25,44.5
J. Randle - O. Anunoby - I. Hartenstein - D. DiVincenzo - M. McBride,4,2,2,35,114.7,105.9,8.8,67.9,1.73,19.0,37.1,68.3,53.9,16.2,55.9,57.2,92.42,52.8
J. Randle - O. Anunoby - J. Brunson - D. DiVincenzo - J. Sims,2,2,0,34,134.9,103.1,31.8,48.5,1.60,18.8,31.8,60.0,49.1,15.9,68.2,71.5,88.43,64.4
B. Bogdanovic - J. Hart - J. Brunson - D. DiVincenzo - P. Achiuwa,10,6,4,33,115.7,128.4,-12.6,42.9,2.40,13.5,28.1,80.0,50.9,7.1,56.3,61.3,100.81,47.2
O. Anunoby - J. Hart - J. Brunson - D. DiVincenzo - M. Robinson,6,5,1,32,127.7,138.7,-11.0,59.3,4.00,17.8,32.1,65.2,47.1,6.2,57.4,63.8,95.50,48.7
J. Randle - J. Brunson - D. DiVincenzo - M. Robinson - I. Quickley,8,4,4,30,108.8,123.9,-15.1,73.9,1.89,17.7,28.2,85.2,51.5,13.2,50.9,55.6,106.40,41.7
B. Bogdanovic - J. Hart - D. DiVincenzo - M. McBride - J. Sims,6,2,4,28,112.1,115.3,-3.2,75.0,2.25,19.8,45.9,78.9,57.1,13.8,48.3,50.5,98.80,46.8
