Lineups,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
J. Hart - J. Brunson,76,48,28,1763,120.9,109.9,11.0,57.7,02.04,17.8,35.5,73.9,54.1,12.5,54.9,58.2,96.08,55.0
J. Brunson - D. DiVincenzo,75,49,26,1709,121.2,114.6,6.6,59.9,02.07,18.6,33.6,73.5,53.0,12.9,56.1,59.5,97.48,52.6
J. Hart - D. DiVincenzo,79,49,30,1601,116.1,110.9,5.2,61.6,1.95,18.4,34.2,72.0,52.5,13.5,54.0,57.2,96.46,52.2
J. Randle - J. Brunson,44,28,16,1365,121.3,114.8,6.5,57.4,1.82,17.6,34.1,74.6,54.0,13.7,56.1,59.9,99.26,52.5
I. Hartenstein - J. Hart,74,46,28,1359,120.3,106.7,13.5,61.7,2.15,19.2,33.0,74.4,53.9,12.8,56.3,59.6,97.87,56.8
I. Hartenstein - J. Brunson,71,46,25,1333,123.7,109.1,14.7,59.9,2.18,19.1,33.0,75.7,54.5,12.5,57.5,60.9,98.32,56.8
I. Hartenstein - D. DiVincenzo,73,45,28,1329,119.2,112.5,6.7,63.1,02.02,19.4,32.0,73.3,52.6,13.7,56.7,60.0,98.53,53.0
J. Hart - M. McBride,58,37,21,993,112.6,110.4,2.2,62.9,1.96,18.1,34.3,71.5,51.9,13.3,52.3,55.2,95.52,49.6
J. Hart - P. Achiuwa,45,29,16,908,113.4,111.6,1.8,59.9,1.79,17.4,35.4,71.0,52.6,14.0,51.6,55.0,94.41,50.5
D. DiVincenzo - M. McBride,48,29,19,799,114.0,112.1,1.9,64.2,2.10,19.0,32.0,69.6,49.7,13.1,53.7,56.0,96.30,49.1
J. Randle - D. DiVincenzo,46,29,17,787,120.4,117.4,3.0,60.5,1.74,18.3,34.7,74.0,54.5,14.9,57.6,61.4,100.98,51.2
J. Randle - I. Hartenstein,44,27,17,780,121.8,111.6,10.2,58.1,1.81,18.0,34.5,75.2,55.1,14.0,57.1,61.1,101.19,54.6
J. Randle - J. Hart,45,28,17,754,119.0,108.4,10.6,56.5,1.66,16.9,36.4,74.7,55.5,14.4,55.5,59.3,100.01,55.4
D. DiVincenzo - P. Achiuwa,43,27,16,750,111.6,112.4,-0.8,61.5,1.86,18.0,32.3,70.7,50.8,13.8,51.8,55.1,95.64,49.6
J. Brunson - M. Robinson,31,19,12,706,116.5,114.7,1.7,56.9,1.82,16.5,36.6,75.2,54.1,13.0,52.6,55.8,96.90,49.6
J. Brunson - P. Achiuwa,44,31,13,699,117.9,107.6,10.2,55.8,1.92,17.0,35.6,70.4,52.5,12.7,52.8,56.4,94.99,54.7
O. Anunoby - J. Brunson,21,19,2,636,125.0,101.7,23.3,59.1,02.02,19.2,31.1,75.0,54.2,13.4,59.0,62.5,97.69,60.8
P. Achiuwa - M. McBride,47,30,17,617,104.1,113.1,-9.0,61.8,1.54,16.8,32.0,69.6,49.9,15.3,50.0,53.3,96.35,44.3
J. Hart - I. Quickley,30,16,14,600,117.9,106.7,11.1,56.9,1.80,17.4,32.2,74.0,53.7,13.5,55.2,59.2,99.45,55.6
J. Brunson - Q. Grimes,41,28,13,579,111.4,108.6,2.8,55.9,1.86,16.2,32.6,72.3,51.6,12.2,51.3,54.5,98.63,49.3
J. Randle - M. Robinson,21,12,9,573,115.5,113.0,2.5,57.6,1.73,16.7,35.4,75.1,53.9,13.8,53.0,56.0,97.67,49.9
I. Hartenstein - M. McBride,49,32,17,559,117.9,110.9,7.0,66.5,2.28,20.2,30.9,71.5,50.9,12.7,56.8,59.3,96.28,52.1
J. Randle - Q. Grimes,43,27,16,557,108.4,111.7,-3.3,56.1,1.67,15.9,32.9,71.4,50.9,13.3,50.9,54.0,99.64,46.4
J. Hart - Q. Grimes,44,28,16,556,111.7,108.2,3.5,58.4,1.84,17.0,33.7,72.4,52.8,13.0,52.6,55.3,97.27,50.6
J. Brunson - R. Barrett,26,15,11,549,115.8,118.3,-2.5,55.8,1.81,17.0,32.6,71.8,51.6,13.1,53.9,57.6,101.11,47.7
